risk_id,risk_description,probability,impact,owner,mitigation,contingency,status
RISK-001,Incorrect approval rules route requests to the wrong reviewer or skip required finance/executive review,Medium,High,Business Analyst,Review approval matrix against BRULE-001 through BRULE-006 and validate low medium high emergency and capital expenditure scenarios during UAT,Pause affected routing path use manual approval tracking for impacted requests and log defect with project manager decision before restart,Open
RISK-002,User adoption resistance causes pilot users to keep submitting Maintenance requests through email or spreadsheets,Medium,High,Project Manager,Send launch communication reinforce pilot scope in team huddles and monitor first-week request source counts,Redirect email/spreadsheet requests into the pilot workflow where practical and provide targeted follow-up training to repeat users,Monitoring
RISK-003,Poor data quality in request fields limits approval finance procurement and reporting usefulness,Medium,Medium,Business Analyst,Use required fields controlled lists examples in training and daily review of incomplete submissions,Return incomplete requests for correction and update the quick reference guide with common examples,Open
RISK-004,Missing budget codes block normal submissions or create avoidable finance holds,High,High,Finance Reviewer,Prepare budget-code reference list before launch and include budget code guidance in requester training,Route unclear codes to finance support queue and track recurring missing-code patterns for training reinforcement,Open
RISK-005,Vendor master data issues cause procurement holds for unknown inactive duplicate or non-preferred vendors,Medium,Medium,Procurement Coordinator,Prepare preferred vendor reference list and define minimum vendor information needed before PO readiness,Use procurement hold reason and manual vendor review until reference data is corrected or vendor exception is approved,Open
RISK-006,Delayed UAT sign-off leaves unresolved uncertainty before pilot launch,Medium,High,Project Manager,Schedule UAT closeout review and document pass fail blocked defects and launch-impact decisions before go/no-go,Delay pilot launch or narrow pilot scope until critical scenarios have a documented decision,Open
RISK-007,Role access errors prevent requesters approvers finance procurement or report viewers from completing pilot tasks,Medium,High,IT Systems Analyst,Perform role-based access smoke checks before launch for requester manager finance procurement UAT and report viewer roles,Use manual fallback for blocked users and escalate access correction as launch-critical issue,Open
RISK-008,Reporting mismatch reduces trust in dashboard views for holds approvals exceptions or receiving status,Medium,Medium,IT Systems Analyst,Validate dashboard counts against the synthetic request extract and confirm refresh timing before go/no-go,Label reporting view as under review and use source extract checks during hypercare until issue is corrected,Monitoring
RISK-009,Scope creep expands the pilot beyond Maintenance and emergency Safety examples before support is ready,Medium,Medium,Project Manager,Confirm pilot boundary in rollout communication and defer Vessel Operations Logistics Administration IT and Finance request types to later expansion decisions,Route out-of-scope requests through existing process and log expansion requests for post-launch review,Monitoring
RISK-010,Cutover confusion causes users to be unsure when to stop email/spreadsheet intake for pilot request types,Medium,High,Business Analyst,Issue clear launch-day instructions that define pilot request types support contacts and fallback rules,Send corrective communication and have procurement coordinator reconcile any duplicate email/spreadsheet requests,Open
RISK-011,Training completion gaps lead to incorrect submissions approvals or finance/procurement handling,Medium,Medium,Business Analyst,Track role-based training attendance and provide quick reference guide plus daily office hours during first week,Provide targeted refresher session for affected role and monitor related support questions,Open
RISK-012,Emergency purchase exception misuse weakens auditability or bypasses normal controls too often,Low,High,Finance Reviewer,Train users that emergency safety is a fast-track path requiring justification approval history audit notes and finance visibility,Review emergency requests daily during hypercare and require correction or sponsor review for misuse,Monitoring
RISK-013,Open high-severity defects before pilot launch create avoidable launch disruption,Medium,High,Project Manager,Review DEF-001 DEF-002 and any other high-severity defects before go/no-go with resolution workaround or accepted-risk decision,Defer launch or remove affected scenario from pilot until defect owner confirms acceptable workaround,Open
RISK-014,Approval bottlenecks during first week delay purchase requests and reduce confidence in the workflow,Medium,Medium,Department Manager,Monitor pending approvals over SLA daily and remind managers of approval queue ownership,Escalate overdue approvals to project manager and use manual approval note only if sponsor-approved fallback is needed,Monitoring
