request_id,request_date,department,requester_role,item_category,item_description,vendor_name,amount_cad,budget_code,budget_code_valid,approval_level,current_status,manager_approval_date,finance_review_date,po_created_date,received_date,cycle_time_days,exception_reason,priority,delivery_status,payment_status
PR-2026-0001,2026-01-01,Safety,Safety Coordinator,Office/Admin,Document scanner replacement,Lighthouse Procurement Services,2534.66,SAFE-RESP-330,TRUE,Department Manager + Finance,PO Created,2026-01-05,2026-01-06,2026-01-09,,8,No Exception,Low,Ordered,Not Invoiced
PR-2026-0002,2026-01-02,Safety,Safety Coordinator,Safety Equipment,Fall arrest lanyard set,Northline Shield Gear,171.72,SAFE-RESP-330,TRUE,Department Manager,Closed,2026-01-04,,2026-01-08,2026-01-24,22,No Exception,Medium,Received,Payment Pending
PR-2026-0003,2026-01-03,Logistics,Procurement Assistant,Parts,Deck crane seal pack,BlueKeel Marine Parts,5173.69,LOG-FUEL-410,TRUE,Department Manager + Finance,Received,2026-01-05,2026-01-07,2026-01-10,2026-01-21,18,No Exception,Medium,Received,Payment Pending
PR-2026-0004,2026-01-04,Safety,Safety Coordinator,Vendor Service,Dockside equipment inspection service,Lighthouse Procurement Services,15056.96,SAFE-EQ-320,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-01-07,2026-01-11,2026-01-13,2026-01-19,15,Amount Over Threshold,High,Received,Matched
PR-2026-0005,2026-01-05,Maintenance,Procurement Assistant,Safety Equipment,Emergency spill response supplies,Tidewatch Safety Systems,10376.78,MAINT-SVC-230,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-01-09,2026-01-12,2026-01-14,2026-01-29,24,No Exception,Medium,Received,Paid
PR-2026-0006,2026-01-06,Maintenance,Operations Supervisor,Fuel/Operations Supply,Portable generator fuel cans,NorthPier Dockworks,13630.71,MAINT-SVC-230,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-01-10,2026-01-14,2026-01-17,2026-01-21,15,Amount Over Threshold,Medium,Received,Matched
PR-2026-0007,2026-01-07,Maintenance,Procurement Assistant,Safety Equipment,Emergency spill response supplies,Northline Shield Gear,719.99,MAINT-REP-210,TRUE,Department Manager,Received,2026-01-10,,2026-01-15,2026-01-30,23,No Exception,Low,Received,Payment Pending
PR-2026-0008,2026-01-08,IT,Procurement Assistant,IT Equipment,Wireless access point for maintenance shop,Lighthouse Procurement Services,12297.80,IT-EQ-610,TRUE,Department Manager + Finance + Executive Sponsor,Received,2026-01-12,2026-01-15,2026-01-17,2026-01-31,23,No Exception,Medium,Received,Payment Pending
PR-2026-0009,2026-01-09,Logistics,Procurement Assistant,Vendor Service,After hours service call coverage,NorthPier Dockworks,4169.29,LOG-FRT-420,TRUE,Department Manager + Finance,Closed,2026-01-10,2026-01-11,2026-01-15,2026-01-23,14,No Exception,Medium,Received,Payment Pending
PR-2026-0010,2026-01-10,IT,IT Support Analyst,Office/Admin,Printer toner and paper restock,AdminCove Business Services,43547.09,IT-SUP-620,TRUE,Capital/Special Review,PO Created,2026-01-14,2026-01-17,2026-01-21,,11,Delayed Vendor Response,Medium,Delayed,Invoice Received
PR-2026-0011,2026-01-11,Maintenance,Operations Supervisor,Parts,Engine room gasket set,Bayspan Hydraulics,5524.09,MAINT-PART-220,TRUE,Department Manager + Finance,Closed,2026-01-13,2026-01-14,2026-01-16,2026-02-03,23,No Exception,Low,Received,Matched
PR-2026-0012,2026-01-12,Maintenance,Procurement Assistant,Safety Equipment,Cold weather grip cleats,Tidewatch Safety Systems,438.51,MAINT-PART-220,TRUE,Department Manager,Received,2026-01-14,,2026-01-18,2026-01-22,10,No Exception,Medium,Received,Matched
PR-2026-0013,2026-01-13,Administration,Procurement Assistant,Office/Admin,Finance review filing supplies,Avalon Quay Office Supply,664.19,ADMIN-OFF-500,TRUE,Department Manager,Closed,2026-01-14,,2026-01-18,2026-02-04,22,No Exception,Low,Received,Matched
PR-2026-0014,2026-01-14,Administration,Administrative Coordinator,Office/Admin,Operations office stationery order,AdminCove Business Services,601.92,ADMIN-SVC-520,TRUE,Department Manager,Closed,2026-01-16,,2026-01-19,2026-02-06,23,No Exception,Low,Received,Matched
PR-2026-0015,2026-01-15,Vessel Operations,Procurement Assistant,Parts,Fuel line fitting kit,FogBank Industrial Supply,365.24,VO-SAFE-130,TRUE,Department Manager,Closed,2026-01-16,,2026-01-18,2026-02-02,18,No Exception,Low,Received,Paid
PR-2026-0016,2026-01-16,Safety,Operations Supervisor,Safety Equipment,Winter PPE restock,RedMoor Operations Supply,9410.08,SAFE-PPE-300,TRUE,Department Manager + Finance,Closed,2026-01-17,2026-01-19,2026-01-21,2026-01-29,13,No Exception,Low,Received,Paid
PR-2026-0017,2026-01-17,Vessel Operations,Vessel Operations Coordinator,Fuel/Operations Supply,Operations lubricant restock,NorthPier Dockworks,1878.13,VO-SAFE-130,TRUE,Department Manager + Finance,Rejected,,,,,3,Duplicate Request,Medium,Cancelled,On Hold
PR-2026-0018,2026-01-18,Maintenance,Procurement Assistant,Fuel/Operations Supply,Operations lubricant restock,FogBank Industrial Supply,7811.24,MAINT-REP-210,TRUE,Department Manager + Finance,Pending Procurement Review,2026-01-22,2026-01-25,,,7,Missing Quote,High,Not Ordered,On Hold
PR-2026-0019,2026-01-19,Safety,Safety Coordinator,Safety Equipment,Marine first aid cabinet refill,Northline Shield Gear,131.65,SAFE-RESP-330,TRUE,Department Manager,Closed,2026-01-20,,2026-01-22,2026-02-02,14,No Exception,Low,Received,Matched
PR-2026-0020,2026-01-20,Maintenance,Operations Supervisor,Safety Equipment,Confined space gas monitor calibration,Tidewatch Safety Systems,869.85,MAINT-SVC-230,TRUE,Department Manager,On Hold,2026-01-24,,,,4,Missing Quote,Medium,Not Ordered,On Hold
PR-2026-0021,2026-01-21,Maintenance,Operations Supervisor,Parts,Saltwater pump impeller set,RedMoor Operations Supply,3777.01,MAINT-REP-210,TRUE,Department Manager + Finance,Received,2026-01-24,2026-01-27,2026-01-29,2026-02-07,17,No Exception,Medium,Received,Payment Pending
PR-2026-0022,2026-01-22,Maintenance,Operations Supervisor,Parts,Fuel line fitting kit,RedMoor Operations Supply,9299.56,MAINT-REP-210,TRUE,Department Manager + Finance,Closed,2026-01-24,2026-01-28,2026-01-30,2026-02-13,22,No Exception,Medium,Received,Matched
PR-2026-0023,2026-01-23,Administration,Administrative Coordinator,Vendor Service,Preferred vendor rate review,Lighthouse Procurement Services,560.14,ADMIN-OFF-500,TRUE,Department Manager,Closed,2026-01-26,,2026-01-30,2026-02-16,24,No Exception,Low,Received,Payment Pending
PR-2026-0024,2026-01-24,Maintenance,Operations Supervisor,Parts,Fuel line fitting kit,RedMoor Operations Supply,5935.90,MAINT-SVC-230,TRUE,Department Manager + Finance,Closed,2026-01-25,2026-01-26,2026-01-31,2026-02-04,11,No Exception,Low,Received,Paid
PR-2026-0025,2026-01-25,Logistics,Logistics Coordinator,Vendor Service,Quote validation support service,Cabotline Maintenance,8911.73,LOG-FRT-420,TRUE,Department Manager + Finance,Closed,2026-01-29,2026-02-01,2026-02-06,2026-02-18,24,No Exception,Medium,Received,Matched
PR-2026-0026,2026-01-26,Logistics,Procurement Assistant,Fuel/Operations Supply,Portable generator fuel cans,EastCove Fuel Services,811.15,LOG-FUEL-410,TRUE,Department Manager,Closed,2026-01-28,,2026-02-02,2026-02-08,13,No Exception,Medium,Received,Payment Pending
PR-2026-0027,2026-01-27,Maintenance,Operations Supervisor,Vendor Service,Quote validation support service,Quaymark Repair Services,3386.58,MAINT-REP-210,TRUE,Department Manager + Finance,Partially Received,2026-01-31,2026-02-04,2026-02-06,2026-02-17,21,No Exception,Medium,Partially Received,Invoice Received
PR-2026-0028,2026-01-28,Safety,Operations Supervisor,Safety Equipment,Emergency eyewash station supplies,Northline Shield Gear,1991.44,SAFE-RESP-330,TRUE,Department Manager + Finance,Closed,2026-01-29,2026-02-02,2026-02-03,2026-02-09,12,No Exception,High,Received,Payment Pending
PR-2026-0029,2026-01-29,Maintenance,Maintenance Lead,Repair Service,Hydraulic lift inspection service,Cabotline Maintenance,3211.69,,FALSE,Department Manager + Finance,Rejected,,,,,3,Missing Budget Code,Medium,Cancelled,On Hold
PR-2026-0030,2026-01-30,Administration,Administrative Coordinator,Office/Admin,Whiteboard supplies for rollout room,AdminCove Business Services,7964.38,ADMIN-SVC-520,TRUE,Department Manager + Finance,PO Created,2026-02-03,2026-02-07,2026-02-11,,12,Delayed Vendor Response,Medium,Delayed,Not Invoiced
PR-2026-0031,2026-01-31,IT,IT Support Analyst,Office/Admin,Finance review filing supplies,Avalon Quay Office Supply,12087.29,IT-EQ-610,TRUE,Department Manager + Finance + Executive Sponsor,Closed,2026-02-03,2026-02-06,2026-02-08,2026-02-16,16,Amount Over Threshold,High,Received,Matched
PR-2026-0032,2026-02-01,IT,IT Support Analyst,Vendor Service,Dockside equipment inspection service,Dockspan Equipment Services,2071.33,IT-EQ-610,TRUE,Department Manager + Finance,Closed,2026-02-05,2026-02-06,2026-02-10,2026-02-17,16,No Exception,Medium,Received,Paid
